,c,date,h,l,o,time,bid_to_order_volume_ratio,v
1037.0,12259.0,2022-01-14,12267.5,12250.0,12260.0,11:15,60.37937062937063,572.0
1038.0,12258.0,2022-01-14,12260.0,12237.5,12250.0,11:20,20.3420245398773,2608.0
1039.0,12266.5,2022-01-14,12287.5,12238.0,12253.0,11:25,22.41363102232668,3404.0
1040.0,12273.0,2022-01-14,12283.5,12252.0,12266.0,11:30,24.355415352260778,1902.0
1041.0,12272.0,2022-01-14,12285.5,12271.0,12273.0,11:35,65.43846153846154,1430.0
1042.0,12284.5,2022-01-14,12284.5,12263.5,12270.5,11:40,54.1094674556213,676.0
1043.0,12299.5,2022-01-14,12308.5,12273.5,12284.5,11:45,17.384520884520885,3256.0
1044.0,12280.0,2022-01-14,12300.0,12280.0,12300.0,11:50,74.11178861788618,492.0
1045.0,12282.0,2022-01-14,12295.0,12276.5,12280.0,11:55,80.26865671641791,536.0
1046.0,12299.5,2022-01-14,12300.0,12288.0,12288.0,12:00,33.46644844517185,1222.0
1047.0,12279.5,2022-01-14,12303.0,12279.5,12295.0,12:05,33.27374071015689,2422.0
1048.0,12263.0,2022-01-14,12279.0,12259.0,12279.0,12:10,28.62586505190312,2312.0
1049.0,12281.0,2022-01-14,12282.5,12271.0,12271.0,12:15,70.72345132743362,452.0
1050.0,12256.0,2022-01-14,12286.5,12253.0,12281.0,12:20,19.875,3832.0
1051.0,12244.0,2022-01-14,12265.5,12226.5,12262.0,12:25,26.87352829472085,5266.0
1052.0,12229.0,2022-01-14,12275.0,12210.5,12253.5,12:30,41.74696132596685,3620.0
1053.0,12181.0,2022-01-14,12233.0,12160.0,12211.0,12:35,33.02082514734774,5090.0
1054.0,12166.0,2022-01-14,12200.5,12160.0,12173.5,12:40,68.02180527383368,1972.0
1055.0,12190.5,2022-01-14,12210.0,12136.5,12170.0,12:45,27.518513401492125,7238.0
1056.0,12238.0,2022-01-14,12239.5,12184.5,12194.5,12:50,74.80910099889012,1802.0
1057.0,12218.5,2022-01-14,12269.0,12218.5,12238.5,12:55,29.485553772070627,6230.0
1058.0,12114.0,2022-01-14,12231.5,12044.0,12225.0,13:00,15.56549917264203,29008.0
1059.0,12103.0,2022-01-14,12160.5,12073.5,12104.5,13:05,33.62241116197951,9174.0
1060.0,12114.0,2022-01-14,12114.0,12056.5,12112.5,13:10,36.02149321266968,4420.0
1061.0,12090.5,2022-01-14,12120.0,12080.0,12114.0,13:15,45.684134615384615,2080.0
1062.0,12088.5,2022-01-14,12101.0,12081.0,12091.0,13:20,59.92818428184282,1476.0
1063.0,12048.0,2022-01-14,12090.5,12041.0,12090.5,13:25,21.29605776736924,5124.0
1064.0,12000.5,2022-01-14,12050.0,11992.0,12041.5,13:30,24.60533269276964,8326.0
1065.0,12020.0,2022-01-14,12028.0,11993.0,12000.5,13:35,28.8660673121254,4338.0
1066.0,12050.0,2022-01-14,12050.0,12019.5,12020.0,13:40,52.239177489177486,1848.0
1067.0,12077.5,2022-01-14,12082.0,12048.0,12048.0,13:45,35.895250487963565,3074.0
1068.0,12120.0,2022-01-14,12120.0,12067.5,12072.0,13:50,50.37102085620197,1822.0
1069.0,12110.0,2022-01-14,12137.0,12100.0,12119.5,13:55,31.870772946859905,2484.0
1070.0,12045.0,2022-01-14,12110.0,12036.0,12109.5,14:00,28.136694386694387,3848.0
1071.0,12043.0,2022-01-14,12078.0,12037.5,12056.0,14:05,57.278364849833146,3596.0
1072.0,12017.0,2022-01-14,12055.0,12004.5,12055.0,14:10,28.20161561763716,5942.0
1073.0,12062.5,2022-01-14,12062.5,12017.0,12020.0,14:15,36.00108695652174,2760.0
1074.0,12063.0,2022-01-14,12101.5,12053.0,12060.5,14:20,45.07827735644637,3692.0
1075.0,12046.0,2022-01-14,12073.0,12033.0,12063.0,14:25,45.72283669486012,3074.0
1076.0,12064.0,2022-01-14,12070.5,12036.0,12046.0,14:30,48.56978021978022,1820.0
1077.0,12089.5,2022-01-14,12097.5,12051.5,12064.0,14:35,53.52605459057072,1612.0
1078.0,12097.0,2022-01-14,12100.0,12069.0,12089.5,14:40,54.047250859106526,1164.0
1079.0,12090.0,2022-01-14,12107.5,12085.0,12091.5,14:45,58.834210526315786,760.0
1080.0,12107.0,2022-01-14,12107.0,12087.0,12090.0,14:50,51.61052631578947,760.0
1081.0,12095.5,2022-01-14,12107.5,12073.0,12107.5,14:55,42.34506503442999,2614.0
1082.0,12116.5,2022-01-14,12125.0,12105.0,12105.0,15:00,35.17959427207637,1676.0
1083.0,12117.0,2022-01-14,12126.0,12110.0,12117.0,15:05,54.84766584766584,814.0
1084.0,12131.5,2022-01-14,12131.5,12114.0,12117.0,15:10,62.40979381443299,388.0
1085.0,12130.0,2022-01-14,12135.0,12122.0,12135.0,15:15,77.150390625,512.0
1086.0,12161.5,2022-01-14,12165.0,12127.5,12130.0,15:20,33.85494880546075,1758.0
1087.0,12137.0,2022-01-14,12154.5,12136.0,12154.5,15:25,93.48994974874373,398.0
1088.0,12154.5,2022-01-14,12154.5,12136.5,12137.0,15:30,43.631178707224336,526.0
1089.0,12156.0,2022-01-14,12157.0,12139.0,12151.0,15:35,85.6304347826087,460.0
1090.0,12155.0,2022-01-14,12164.5,12145.5,12157.0,15:40,53.48871527777778,1152.0
1091.0,12133.5,2022-01-14,12155.5,12123.0,12155.0,15:45,47.929765886287626,1196.0
1092.0,12130.0,2022-01-14,12138.5,12121.0,12130.0,15:50,60.54330708661417,508.0
1093.0,12109.5,2022-01-14,12130.0,12100.0,12130.0,15:55,24.73812038014784,1894.0
1094.0,12147.0,2022-01-14,12150.5,12102.5,12109.0,16:00,40.50940070505288,1702.0
1095.0,12100.0,2022-01-14,12148.0,12100.0,12147.0,16:05,54.31745502998001,3002.0
1096.0,12052.0,2022-01-14,12102.0,12050.0,12100.0,16:10,27.50224081266806,6694.0
1097.0,12014.5,2022-01-14,12052.0,11995.0,12052.0,16:15,17.712101556708674,10792.0
1098.0,12044.0,2022-01-14,12044.5,12002.5,12014.0,16:20,21.831694848604013,5086.0
1099.0,12005.0,2022-01-14,12055.0,11995.0,12036.5,16:25,16.595417236662108,5848.0
1100.0,12039.0,2022-01-14,12066.5,12000.0,12000.0,16:30,49.24017790956264,2698.0
1101.0,12047.0,2022-01-14,12078.0,12020.0,12046.5,16:35,31.994039948453608,6208.0
1102.0,12001.5,2022-01-14,12059.5,11995.0,12041.0,16:40,15.958897839619189,10924.0
1103.0,11961.5,2022-01-14,12004.0,11957.0,12002.0,16:45,12.206779661016949,8260.0
1104.0,11982.0,2022-01-14,11995.5,11950.0,11961.5,16:50,25.664597213809813,6604.0
1105.0,11976.0,2022-01-14,11983.0,11953.5,11982.0,16:55,40.71998420221169,2532.0
1106.0,12023.0,2022-01-14,12037.0,11961.0,11976.0,17:00,36.86002522068096,4758.0
1107.0,12000.0,2022-01-14,12032.0,11993.5,12025.0,17:05,72.12067260138477,2022.0
1108.0,11937.0,2022-01-14,12000.0,11932.0,12000.0,17:10,28.67391304347826,5750.0
1109.0,11929.0,2022-01-14,11937.0,11900.0,11937.0,17:15,14.436822253653936,8484.0
1110.0,11934.5,2022-01-14,11949.0,11919.0,11925.0,17:20,28.466954022988507,3480.0
1111.0,11917.5,2022-01-14,11941.5,11913.0,11930.0,17:25,23.780927835051543,3104.0
1112.0,11940.5,2022-01-14,11950.0,11900.0,11916.5,17:30,24.79785392869505,5778.0
1113.0,11970.0,2022-01-14,11996.0,11937.0,11940.5,17:35,17.80236201494336,8298.0
1114.0,11982.5,2022-01-14,11993.0,11956.5,11970.0,17:40,33.24142940151075,3442.0
1115.0,12000.0,2022-01-14,12000.0,11972.5,11985.0,17:45,18.794099378881988,6440.0
1116.0,11988.0,2022-01-14,12000.5,11971.5,11997.5,17:50,28.92471264367816,3480.0
1117.0,11999.5,2022-01-14,12000.0,11987.5,11988.0,17:55,11.420286609941783,4466.0
1118.0,11989.5,2022-01-14,12000.0,11982.0,11993.0,18:00,24.22429261559696,2898.0
1119.0,11983.0,2022-01-14,11994.0,11963.0,11994.0,18:05,31.716089466089468,2772.0
1120.0,11971.5,2022-01-14,12000.0,11971.5,11983.0,18:10,24.768939393939394,3696.0
1121.0,11896.5,2022-01-14,11976.0,11851.5,11976.0,18:15,10.936160137752903,23230.0
1122.0,11910.0,2022-01-14,11911.5,11890.5,11896.5,18:20,18.80092250922509,5420.0
1123.0,11929.0,2022-01-14,11937.0,11910.0,11910.0,18:25,25.31421864520456,2982.0
1124.0,11929.0,2022-01-14,11936.5,11895.0,11929.0,18:30,20.642276422764223,5166.0
1125.0,11931.5,2022-01-14,11936.0,11904.0,11926.5,18:35,43.58227040816327,1568.0
1126.0,11859.0,2022-01-14,11859.0,11859.0,11859.0,23:55,10.058895353013,27846.0
1127.0,11968.0,2022-01-17,12046.0,11943.0,12043.0,07:00,53.65722291407223,3212.0
1128.0,11981.0,2022-01-17,11989.0,11955.5,11967.5,07:05,90.75251889168766,1588.0
1129.0,11851.5,2022-01-17,11980.5,11830.5,11980.5,07:10,93.73887293610912,5572.0
1130.0,11823.0,2022-01-17,11885.0,11810.0,11845.5,07:15,46.74828767123287,2336.0
1131.0,11870.5,2022-01-17,11882.5,11816.5,11816.5,07:20,56.80851063829788,1128.0
1132.0,11892.0,2022-01-17,11892.0,11860.5,11870.0,07:25,60.70338983050848,590.0
1133.0,11908.5,2022-01-17,11916.0,11890.0,11892.0,07:30,49.37931034482759,522.0
1134.0,11904.0,2022-01-17,11909.0,11887.5,11908.5,07:35,29.59315068493151,730.0
1135.0,11908.0,2022-01-17,11908.0,11904.0,11904.0,07:40,246.7,40.0
1136.0,11905.0,2022-01-17,11911.5,11887.5,11904.0,07:45,35.34603658536585,656.0
1137.0,11911.5,2022-01-17,11915.0,11902.5,11906.0,07:50,98.925,120.0
1138.0,11912.5,2022-01-17,11913.0,11902.5,11912.5,07:55,96.42647058823528,68.0
1139.0,11947.5,2022-01-17,11947.5,11900.0,11913.0,08:00,9.384437596302003,2596.0
1140.0,11934.0,2022-01-17,11948.0,11929.5,11940.0,08:05,20.875,184.0
1141.0,11948.5,2022-01-17,11948.5,11932.5,11932.5,08:10,33.31875,160.0
1142.0,11936.0,2022-01-17,11949.5,11936.0,11947.5,08:15,19.232558139534884,86.0
1143.0,11934.5,2022-01-17,11944.0,11922.0,11944.0,08:20,27.73684210526316,152.0
1144.0,11931.5,2022-01-17,11934.5,11930.0,11934.0,08:25,38.60294117647059,68.0
1145.0,11929.0,2022-01-17,11933.5,11905.5,11933.5,08:30,43.97345132743363,226.0
1146.0,11915.0,2022-01-17,11930.0,11906.5,11926.0,08:35,35.46774193548387,186.0
