,c,date,h,l,o,time,bid_to_order_volume_ratio,v
3173.0,21628.0,2022-02-04,21642.0,21616.0,21616.0,13:00,32.35878962536023,694.0
3174.0,21624.0,2022-02-04,21636.0,21610.0,21624.0,13:05,28.12815884476534,1662.0
3175.0,21596.0,2022-02-04,21622.0,21590.0,21616.0,13:10,7.4899468892261,5272.0
3176.0,21582.0,2022-02-04,21598.0,21570.0,21596.0,13:15,5.775142314990513,4216.0
3177.0,21578.0,2022-02-04,21590.0,21570.0,21578.0,13:20,38.04554079696395,1054.0
3178.0,21542.0,2022-02-04,21584.0,21538.0,21576.0,13:25,37.93949499761791,4198.0
3179.0,21520.0,2022-02-04,21560.0,21508.0,21538.0,13:30,30.151321398124463,4692.0
3180.0,21536.0,2022-02-04,21550.0,21506.0,21526.0,13:35,20.046875,2368.0
3181.0,21504.0,2022-02-04,21544.0,21504.0,21536.0,13:40,19.394760213143872,2252.0
3182.0,21572.0,2022-02-04,21580.0,21504.0,21504.0,13:45,16.60562685093781,4052.0
3183.0,21596.0,2022-02-04,21602.0,21574.0,21574.0,13:50,22.725888324873097,1182.0
3184.0,21612.0,2022-02-04,21614.0,21594.0,21598.0,13:55,38.777955271565496,1252.0
3185.0,21606.0,2022-02-04,21612.0,21594.0,21606.0,14:00,22.33157894736842,380.0
3186.0,21556.0,2022-02-04,21606.0,21522.0,21604.0,14:05,41.82692307692308,2028.0
3187.0,21534.0,2022-02-04,21572.0,21512.0,21554.0,14:10,38.93344334433444,1818.0
3188.0,21576.0,2022-02-04,21624.0,21526.0,21528.0,14:15,32.82381193124368,3956.0
3189.0,21544.0,2022-02-04,21584.0,21542.0,21580.0,14:20,26.92201518288475,2898.0
3190.0,21574.0,2022-02-04,21584.0,21544.0,21544.0,14:25,34.68937875751503,998.0
3191.0,21566.0,2022-02-04,21580.0,21546.0,21570.0,14:30,9.563636363636364,5720.0
3192.0,21544.0,2022-02-04,21562.0,21540.0,21560.0,14:35,26.55392156862745,1836.0
3193.0,21544.0,2022-02-04,21558.0,21530.0,21542.0,14:40,18.22420262664165,2132.0
3194.0,21514.0,2022-02-04,21548.0,21512.0,21542.0,14:45,10.0984728804634,3798.0
3195.0,21482.0,2022-02-04,21522.0,21482.0,21514.0,14:50,4.621637658227848,10112.0
3196.0,21474.0,2022-02-04,21520.0,21472.0,21482.0,14:55,10.60576515472658,4718.0
3197.0,21508.0,2022-02-04,21508.0,21470.0,21474.0,15:00,21.691326530612244,1176.0
3198.0,21490.0,2022-02-04,21500.0,21474.0,21496.0,15:05,25.071948998178502,1098.0
3199.0,21468.0,2022-02-04,21490.0,21468.0,21490.0,15:10,6.360936093609361,4444.0
3200.0,21466.0,2022-02-04,21474.0,21448.0,21472.0,15:15,7.285669191919192,6336.0
3201.0,21478.0,2022-02-04,21510.0,21448.0,21464.0,15:20,23.086188436830835,1868.0
3202.0,21496.0,2022-02-04,21502.0,21472.0,21488.0,15:25,26.11880165289256,968.0
3203.0,21518.0,2022-02-04,21530.0,21490.0,21496.0,15:30,20.776440240756664,2326.0
3204.0,21546.0,2022-02-04,21546.0,21512.0,21512.0,15:35,23.92841648590021,922.0
3205.0,21526.0,2022-02-04,21562.0,21522.0,21546.0,15:40,12.567865429234338,1724.0
3206.0,21534.0,2022-02-04,21534.0,21524.0,21524.0,15:45,8.449074074074074,1296.0
3207.0,21526.0,2022-02-04,21536.0,21524.0,21532.0,15:50,27.556109725685783,802.0
3208.0,21520.0,2022-02-04,21534.0,21510.0,21534.0,15:55,8.430759412890874,3134.0
3209.0,21518.0,2022-02-04,21526.0,21518.0,21520.0,16:00,21.35692771084337,664.0
3210.0,21530.0,2022-02-04,21530.0,21518.0,21518.0,16:05,24.322222222222223,540.0
3211.0,21522.0,2022-02-04,21530.0,21518.0,21524.0,16:10,25.68831168831169,616.0
3212.0,21536.0,2022-02-04,21542.0,21518.0,21520.0,16:15,16.85182119205298,1208.0
3213.0,21526.0,2022-02-04,21536.0,21518.0,21536.0,16:20,51.1839378238342,386.0
3214.0,21526.0,2022-02-04,21538.0,21518.0,21520.0,16:25,19.43564356435644,808.0
3215.0,21524.0,2022-02-04,21536.0,21518.0,21518.0,16:30,12.857293423271502,4744.0
3216.0,21518.0,2022-02-04,21540.0,21518.0,21524.0,16:35,13.090455531453362,4610.0
3217.0,21480.0,2022-02-04,21550.0,21478.0,21520.0,16:40,15.416395726892707,4306.0
3218.0,21482.0,2022-02-04,21494.0,21446.0,21478.0,16:45,19.78048780487805,4018.0
3219.0,21468.0,2022-02-04,21488.0,21452.0,21482.0,16:50,9.258320126782884,7572.0
3220.0,21458.0,2022-02-04,21468.0,21438.0,21468.0,16:55,12.156372335798173,4598.0
3221.0,21430.0,2022-02-04,21468.0,21420.0,21450.0,17:00,14.446782922429344,3326.0
3222.0,21472.0,2022-02-04,21496.0,21420.0,21436.0,17:05,21.03120759837178,2948.0
3223.0,21452.0,2022-02-04,21470.0,21438.0,21470.0,17:10,19.7953603976802,2414.0
3224.0,21446.0,2022-02-04,21460.0,21422.0,21454.0,17:15,8.786686838124055,3966.0
3225.0,21454.0,2022-02-04,21460.0,21412.0,21442.0,17:20,9.815402298850575,4350.0
3226.0,21460.0,2022-02-04,21460.0,21448.0,21454.0,17:25,12.126114081996436,2244.0
3227.0,21398.0,2022-02-04,21460.0,21372.0,21460.0,17:30,7.662260588076612,7414.0
3228.0,21422.0,2022-02-04,21430.0,21374.0,21384.0,17:35,32.37413394919169,1732.0
3229.0,21450.0,2022-02-04,21460.0,21416.0,21420.0,17:40,9.20141673349372,7482.0
3230.0,21450.0,2022-02-04,21460.0,21436.0,21450.0,17:45,12.741234221598878,2852.0
3231.0,21448.0,2022-02-04,21460.0,21440.0,21440.0,17:50,12.018805309734514,2712.0
3232.0,21460.0,2022-02-04,21460.0,21440.0,21448.0,17:55,25.9433465085639,1518.0
3233.0,21432.0,2022-02-04,21460.0,21388.0,21460.0,18:00,18.54811205846529,3284.0
3234.0,21420.0,2022-02-04,21442.0,21404.0,21432.0,18:05,28.56597222222222,2016.0
3235.0,21380.0,2022-02-04,21418.0,21352.0,21412.0,18:10,9.193696359869785,6758.0
3236.0,21418.0,2022-02-04,21440.0,21378.0,21388.0,18:15,26.74546370967742,1984.0
3237.0,21408.0,2022-02-04,21432.0,21380.0,21416.0,18:20,9.393939393939394,6666.0
